ticker,year,quarter,EBITMargin,ROA,ROE,ROIC,EPS,P/B,P/E,RevenueGrowth,GrossProfitGrowth,DebtToEquityRatio
BCC,2023,3,-0.06884902,-0.03282038,-0.06354429,-0.00101634,-451.69005805,0.58496044,-8.86229623,-0.32786375,-0.54690855,0.39567344
BCC,2023,4,-0.08396576,-0.05866093,-0.1176042,-0.06447529,-697.43324097,0.54159662,-4.33295602,-0.25973575,-0.61582259,0.45559146
BCC,2024,1,-0.05855378,-0.05097875,-0.10180057,-0.05260757,-394.42492021,0.563411,-5.10410275,-0.18656843,-0.16409766,0.50686215
BCC,2024,2,0.02372241,-0.04367626,-0.08862828,-0.04622243,208.62994522,0.54163954,-5.91796528,0.14337231,0.58804106,0.44518613
BCC,2024,3,-0.02174169,-0.03598653,-0.07408553,-0.0359375,-198.31999693,0.50045089,-6.65712348,0.20092763,1.9054735,0.48775683
BCC,2024,4,0.04121977,-0.00176027,-0.00342449,0.00307619,333.61787676,0.47552268,-138.62183513,0.44690488,4.63856565,0.34813242
BCC,2025,1,-0.06227019,-0.00470367,-0.00937388,-0.00019516,-479.69429949,0.61091432,-64.08062105,0.11864312,-0.17618151,0.44552284
BCC,2025,2,0.07252841,0.00621614,0.01217028,0.02167638,521.20249416,0.57579681,48.07527131,0.04373472,0.47417437,0.41128402
BCF,2023,1,0.13561677,0.197964,0.248507,0.19705598,534.17658211,2.91915697,11.6875337,-0.32256592,-0.44924309,0.15476133
BCF,2023,2,0.09489314,0.14897,0.18252,0.15406699,519.8174441,2.67304955,15.14462346,-0.2756531,-0.44912768,0.05468229
BCF,2023,3,0.15999253,0.13827542,0.1705085,0.03803218,627.27616074,2.81690996,17.15497053,-0.08124067,-0.1612685,0.11372367
BCF,2023,4,0.09234314,0.13602714,0.18333532,0.17963265,438.18957912,2.75729841,15.3559266,0.18509162,0.22571966,0.1501737
BCF,2024,1,0.16902392,0.16052043,0.19831218,0.18470594,747.57725655,2.96144463,15.32391677,0.3351219,0.37151156,0.11290306
BCF,2024,2,0.16934572,0.18714737,0.23541322,0.217448,943.76666555,3.32169662,15.23494511,0.31463386,0.73918993,0.14204349
BCF,2024,3,0.1834651,0.20056558,0.2597307,0.23743877,948.72258563,3.27285447,13.43698955,0.39028869,0.41649823,0.22661211
BCF,2024,4,0.10300998,0.18305914,0.2757126,0.24880951,507.98023897,3.38643926,12.9678699,0.11928045,0.24774255,0.34259122
BCF,2025,1,0.17902574,0.17789043,0.25712424,0.21338949,756.60450813,3.42639569,13.74743157,0.01959376,0.10207543,0.40648001
BCF,2025,2,0.18996879,0.16924416,0.25821524,0.20087252,899.63964763,3.14737252,13.21365674,0.01797052,0.03040293,0.42942049
BCH,2021,3,0.18902258,0.049849,0.076161,0.07434978,,,,0.22680931,0.56071098,0.40727545
BCH,2021,4,0.15707096,0.056077,0.092195,0.08884888,,,,0.58925097,3.23262859,0.38902109
BCH,2022,1,0.15516371,0.075459,0.123957,0.10803278,,,,-0.02143519,0.11395561,0.43367337
BCH,2022,2,0.03010517,0.07151956,0.12334858,0.10719758,,,,0.47540261,0.15513959,0.46142696
BCH,2022,3,0.07092627,0.048078,0.086994,0.08684171,,,,0.16882783,-0.25442512,0.51720039
BCH,2022,4,0.13287437,0.036542,0.059362,0.06234928,,,,-0.27362514,-0.20988104,0.51880113
BCH,2023,1,0.09545474,0.020557,0.034792,0.05067656,,,,-0.56221343,-0.4751159,0.46345246
BCH,2023,2,-0.20796114,-0.006784,-0.011153,0.03474534,,,,-0.66318791,-1.29067631,0.54073269
BCH,2023,3,-10.56695372,-0.0355345,-0.05665188,-8.37e-05,,,,-0.98968826,-1.54722653,0.56277428
BCH,2023,4,,-0.07550612,-0.12311225,-0.03772264,,,,-1.0,-1.27523974,0.58540447
BED,2023,1,0.05860234,0.064485,0.09284,0.19127861,130.40621467,2.93628959,32.79604344,0.13955506,0.1707615,
BED,2023,2,0.09615742,0.130407,0.17951,0.2086305,862.219539,2.76120682,15.05390869,-0.06078323,0.02971858,
BED,2023,3,0.14008788,0.13494,0.184378,0.21065046,1280.346619,2.15521151,12.34506033,-0.00938968,-0.00692813,
BED,2023,4,0.12044406,0.15748342,0.19750716,0.05211811,438.70786933,2.29979207,12.21160176,-0.07926073,0.18234588,
BED,2024,1,0.02401656,0.14226522,0.19264826,0.1881416,84.55820333,2.13389771,11.55361528,-0.00031507,-0.0817495,
BED,2024,2,0.08209171,0.12641136,0.17535018,0.16588407,626.61194867,2.42039873,12.6737255,-0.14104925,-0.2188676,0.13272609
BED,2024,3,0.0995965,0.10954669,0.15330757,0.1457973,966.095474,2.24960844,14.55594792,0.08473761,-0.07595448,
BED,2024,4,0.10765387,0.13880538,0.17308128,0.1402862,820.362834,2.12243495,12.33169805,-0.12053479,-0.07178277,
BED,2025,1,0.05885266,0.13078135,0.18331862,0.14230395,133.84703433,1.7616355,10.12989314,-0.10156088,-0.04966701,
BED,2025,2,0.05974639,0.12294493,0.16994682,0.13964049,442.44107567,2.0214618,10.91949597,-0.01767893,-0.00909623,
BKC,2023,1,0.05497871,0.005915,0.014912,0.00933911,132.70707721,0.52970452,37.48965733,1.25634581,0.22586186,0.77262537
BKC,2023,2,0.04788623,0.006956,0.016364,0.01087523,189.21787649,0.45863376,28.17929941,3.07686752,0.07251835,0.75527555
BKC,2023,3,0.01746771,-0.0039196,-0.00880135,,47.30468767,0.47011648,-53.98999444,0.92250099,0.43984537,0.7533996
BKC,2023,4,0.02124931,0.01361403,0.02841682,0.03841409,167.20582365,0.42960252,15.33269915,0.32185891,9.02292764,0.71929557
BKC,2024,1,0.04793285,0.01549576,0.03380916,0.04048873,123.89579304,0.40713226,12.12984589,-0.11943995,-0.1047486,0.74562162
BKC,2024,2,0.03109167,0.01593456,0.03401324,0.03428487,196.10204615,0.49007875,14.59284966,0.07746445,0.02840147,0.80939582
BKC,2024,3,0.17262769,0.0630632,0.13039372,0.10935003,1627.59318234,1.19133104,9.88274597,0.73421089,4.2142791,0.70179801
BKC,2024,4,0.14966667,0.13024154,0.24818429,0.26353223,2555.0178785,2.74796513,12.44625917,0.32176664,3.94625729,0.20092079
BKC,2025,1,0.05350198,0.12210892,0.24240178,0.22370167,168.5686356,2.2890122,10.3502245,-0.61729958,-0.46490573,0.3880267
BKC,2025,2,0.10528805,0.13399271,0.26267164,0.23283094,909.31332759,2.60753819,10.62415444,-0.03345099,0.8676751,0.49801908
BNA,2023,1,0.07733667,0.051966,0.110827,0.08859078,248.25677809,0.79356912,7.29268798,-0.255801,-0.26645375,0.91957673
BNA,2023,2,0.05949332,0.034817,0.075186,0.070724,67.37574586,0.5330032,7.14189002,-0.00223047,-0.19916134,0.95156537
BNA,2023,3,0.08745161,0.03833542,0.0832492,0.02244689,881.66334841,0.66143589,8.28698773,0.45857304,0.19735789,0.87871463
BNA,2023,4,0.05197172,0.046417,0.101375,0.0905184,656.85903294,0.54388302,5.63690478,1.81445458,0.71413116,0.94968796
BNA,2024,1,0.04284922,0.04552815,0.10362179,0.0832661,291.62126796,0.61956391,6.21864526,0.44800675,0.15427109,0.99546058
